elapsed_min,app_mb,wv_count,wv_total_mb,grand_total_mb,handles,threads
186.6,363.6,21,3147.3,3510.9,1652,62
187.1,364.2,21,3138.5,3502.7,1681,53
187.6,368.6,21,3154.6,3523.2,1666,65
188.1,369.3,21,3153.9,3523.2,1678,66
188.6,375.3,21,3156.1,3531.4,1704,64
189.1,384.7,21,3139,3523.7,1675,63
189.6,384.2,21,3146.1,3530.3,1628,51
190.1,392,21,3167.2,3559.2,1670,63
190.6,386.3,21,3155.3,3541.6,1670,65
191.1,370.3,21,3152.6,3522.9,1665,65
191.6,365.2,21,3107.8,3473,1650,62
192.1,364.6,21,3104,3468.6,1612,48
192.6,365.7,21,3114.3,3480,1656,62
193.1,359.7,21,3118.8,3478.5,1663,64
193.6,365,21,3121.4,3486.4,1692,62
194.1,365.5,21,3106.6,3472.1,1656,63
194.6,373.6,21,3110.3,3483.9,1660,49
195.1,364.8,21,3129.8,3494.6,1656,62
195.6,369.9,21,3106.3,3476.2,1739,71
196.1,377.7,21,3092.8,3470.5,1733,62
196.6,387,21,3097.3,3484.3,1684,62
197.1,364,21,3100.6,3464.6,1624,49
197.6,372.6,21,3096.2,3468.8,1687,69
198.1,373,21,3101.5,3474.5,1687,67
198.6,378.6,21,3104,3482.6,1687,65
199.1,388.2,21,3088.4,3476.6,1718,73
199.6,388.1,21,3081.1,3469.2,1620,49
200.1,390.7,21,3064.8,3455.5,1654,62
200.6,392.2,21,3066.9,3459.1,1658,62
201.1,378.7,21,3072.3,3451,1656,63
201.6,379.2,21,3075.4,3454.6,1655,62
202.1,366.8,21,3079.2,3446,1618,49
202.6,368.9,21,3100,3468.9,1659,63
203.1,363.3,21,3091.5,3454.8,1661,63
203.6,369.9,21,3080.2,3450.1,1698,63
204.1,380.6,21,3089,3469.6,1670,63
204.6,379.5,21,3095.2,3474.7,1621,49
205.1,386.9,21,3104.5,3491.4,1659,62
205.6,387.9,21,3094.9,3482.8,1652,63
206.1,381,21,3095.5,3476.5,1651,62
206.6,381.5,21,3095.1,3476.6,1735,78
207.1,365.2,21,3101.8,3467,1653,63
207.6,371,21,3103.3,3474.3,1648,61
208.1,380.6,21,3096.8,3477.4,1683,63
208.6,383.6,21,3068.4,3452,1662,63
209.1,388.9,21,3075.1,3464,1684,60
209.6,376.4,21,3086.2,3462.6,1644,61
210.1,366.3,21,3083.3,3449.6,1695,62
210.6,370.3,21,3087.9,3458.2,1695,71
211.1,372.7,21,3087.5,3460.2,1650,61
211.6,370.1,21,3075.2,3445.3,1646,61
212.1,376,21,3100.2,3476.2,1729,62
212.6,381.9,21,3103.2,3485.1,1774,61
213.1,385.9,21,3099.1,3485,1668,63
213.6,364.7,21,3087.4,3452.1,1666,63
214.1,367.8,21,3082.5,3450.3,1637,51
214.6,379.5,21,3104.6,3484.1,1733,77
215.1,371.8,21,3085.8,3457.6,1664,63
215.6,372.6,21,3091.5,3464.1,1619,55
216.1,378.8,21,3094.5,3473.3,1726,74
216.6,392.4,21,3047.9,3440.3,1641,50
217.1,395.3,21,3082.6,3477.9,1725,60
217.6,396.5,21,3076.2,3472.7,1698,62
218.1,394.3,21,3079.5,3473.8,1663,63
218.6,393.1,21,3083.4,3476.5,1661,63
219.1,392.3,21,3094.8,3487.1,1666,64
